id,province_id,district_id,sub_district_id,INQUIRE_NO,INQUIRE_ID,HH_CATS,latitude,longitude,FCS,CSI,HFIAS,HH_SIZE,HOH_EDU,HOH_AGE,HOH_GENDER,DEPEND_RATIO,GROUPS_MEMBER,WELFARE_TOTAL,WORKFORCE_TOTAL,EXPENSE_MONTHLY,DEBT_TOTAL,INCOME_MONTHLY,ASSETS_LAND,ASSETS_TOTAL,WATER_CROP,CHEM_TOTAL,DISASTER_OCC,FOODSRC_NATURAL,WATER_CONSUME,SANITATION_TYPE,COVID_AFFECTS,FOODSRC_BUY,FOODSAF_RATIO,SELF_COOK_DAYS,COOK_DONE_DAY,FOOD_STOCKS,FOODSRC_DIST,fcs_score,hfias_score,hfias_d1,hfias_d2,hfias_d3
51,52,5202,520204,52-142,142,0,18.279251,099.640274,2,29,2,5,6,44,1,0,0,0,5,18000,3000,16667,1,0,0,0,1,3,1,2,5,1,0.2500,2,7,1,2.00,95,2,0,1,0
52,52,5211,521104,52-346,346,0,17.876596,099.298226,2,1,1,5,3,71,1,1,0,3,0,6700,0,32300,1,6,1,1,1,1,0,2,0,2,0.6250,5,7,1,0.50,88,0,0,0,0
53,52,5202,520204,52-143,143,0,18.273803,099.667402,2,5,1,3,7,42,1,0,0,0,3,119000,0,25000,1,4,1,1,1,0,1,4,5,1,0.6667,0,6,1,2.00,87,0,0,0,0
54,52,5201,520106,52-094,94,0,18.277188,099.469597,2,11,1,3,7,66,1,1,2,2,0,7000,0,26300,1,5,0,0,1,0,0,3,1,1,0.7083,0,7,2,1.00,82,0,0,0,0
55,52,5211,521104,52-347,347,0,17.864571,099.298193,2,0,1,5,3,75,1,1,1,2,0,17500,50000,26400,1,7,1,1,1,3,0,2,0,6,0.4583,3,7,1,0.10,84,0,0,0,0
56,52,5201,520106,52-095,95,0,18.278056,099.472279,2,8,1,1,7,68,2,1,1,1,0,19000,0,20000,1,5,0,0,1,0,0,3,0,1,0.6250,0,7,1,1.00,86,0,0,0,0
57,52,5212,521206,52-371,371,0,18.264665,099.267094,2,2,1,4,3,56,1,0,4,4,4,24000,150000,10000,0,0,1,0,1,0,1,3,3,1,0.2083,0,7,1,3.00,87,0,0,0,0
58,52,5212,521207,52-358,358,0,18.408775,099.365437,2,35,3,5,3,60,1,1,3,2,0,29000,80000,7500,2,6,1,0,2,2,0,5,1,2,0.3333,0,7,1,1.00,67,5,1,0,1
59,52,5203,520307,52-166,166,0,18.111503,099.353208,2,2,2,5,3,67,2,1,2,7,0,30300,870000,27400,1,6,0,0,1,0,2,4,4,1,0.0417,1,7,1,1.00,89,2,1,1,0
60,52,5212,521207,52-359,359,0,18.400540,099.370016,2,66,3,7,3,82,1,1,2,4,0,81000,100000,10833,2,7,1,1,1,3,1,3,3,2,0.4583,7,7,1,1.00,90,5,1,0,1
61,52,5212,521207,52-364,364,0,18.394336,099.351898,2,30,3,4,3,44,1,0,5,2,4,76000,50000,18333,1,5,1,2,2,1,2,3,5,1,0.6250,0,7,2,0.50,99,10,1,1,1
